pairs,sub,sub_a2v
Be Rb,0.0009,0.249879835197379
Be Re,0.0074,0.5472740545888043
Be Rh,0.0084,0.34401755149687135
Be Ru,0.0058,0.3625359464110888
Be S,0.0066,0.17739136510740813
Be Sb,0.0053,0.284551181840458
Be Sc,0.0043,0.707390468847939
Be Se,0.0052,0.23160957391433687
Be Si,0.0281,0.3568504848915074
Be Sm,0.0025,0.338874318820096
Be Sn,0.0072,0.4108002190602025
Be Sr,0.0016,0.4094232182281352
Be Ta,0.0048,0.540832008449017
Be Tb,0.0014,0.3992254673654337
Be Tc,0.0071,0.5684962846036361
Be Te,0.0027,0.3844817011521835
Be Th,0.0016,0.5745170177053809
Be Ti,0.0079,0.6572502841690341
Be Tl,0.0041,0.48364034714803983
Be Tm,0.0017,0.46553807474987224
Be U,0.0022,0.5272997833714645
B Eu,0.0004,0.12037198834870103
Be V,0.0128,0.6019933107809554
Be W,0.004,0.5111379340263893
Be Y,0.0018,0.5065394527323702
Be Yb,0.0025,0.5472225870985442
Be Zn,0.0613,0.7946946551461614
Be Zr,0.0024,0.6392712884349346
B F,0.0003,-0.016685139256043247
B Fe,0.0049,0.14049821659217496
B Ga,0.0137,0.23265255743771787
B Gd,0.0006,0.13300315927588663
B Ge,0.0147,0.05956110496910549
B H,0.0024,0.30443256651034306
B Hf,0.0008,0.019939276473160846
B Hg,0.0032,0.11449091950570275
B Ho,0.0009,0.10477039543696612
B I,0.0007,0.16011836797351706
Bi Br,0.0039,0.19921013928638956
Bi C,0.0017,0.2800576631553476
Bi Ca,0.0092,0.19745827557564427
Bi Cd,0.0215,0.37042634470319674
Bi Ce,0.0085,0.31533323652124645
Bi Cl,0.0026,0.1578824244050835
Bi Co,0.0067,0.2336183099121647
Bi Cr,0.0088,0.5530527517010697
Bi Cs,0.0016,0.12409491212046408
Bi Cu,0.0075,0.17588319254759124
Bi Dy,0.0167,0.32225864751185807
Bi Er,0.0149,0.3143389537002236
Bi Eu,0.0102,0.41844076169029043
Bi F,0.0004,0.08172878088266392
Bi Fe,0.0061,0.35109070384894603
Bi Ga,0.0248,0.5455054832908394
Bi Gd,0.0172,0.3875985061102432
Bi Ge,0.0283,0.3286026985874913
Bi H,0.0016,0.3942719009879014
Bi Hf,0.0038,0.19192592750394685
Bi Hg,0.0468,0.45598109661796477
Bi Ho,0.015,0.31747336889275635
Bi I,0.0042,0.2541036895081664
Bi In,0.0487,0.6646501792865086
Bi Ir,0.0121,0.19174174763310645
Bi K,0.0026,0.1615060851734039
Bi La,0.0186,0.33157179463494074
Bi Li,0.0031,0.17308103167411507
Bi Lu,0.0155,0.33904182458777565
Bi Mg,0.0067,0.12626937865861865
Bi Mn,0.0064,0.31167693092817844
Bi Mo,0.0094,0.43990720460794236
Bi N,0.0007,0.13625156424814885
B In,0.0017,0.1641731332606498
Bi Na,0.0061,0.2431727001557802
Bi Nb,0.0065,0.34433609415218963
Bi Nd,0.0229,0.3416015660925887
Bi Ni,0.004,0.20802725944598666
Bi Np,0.0123,0.5106042651572156
Bi O,0.0001,0.04299663146261647
Bi Os,0.0094,0.24268639481390306
Bi P,0.0159,0.44585601987270074
Bi Pa,0.0071,0.5355221252732901
Bi Pb,0.1408,0.6533664728762049
Bi Pd,0.0065,0.22697593848785186
Bi Pm,0.0002,0.47260264667091145
Bi Pr,0.0223,0.33003815148507853
Bi Pt,0.0115,0.2533480671597198
Bi Pu,0.0103,0.5333279920743936
B Ir,0.0026,0.07835390638319585
Bi Rb,0.0015,0.16679482865205875
Bi Re,0.0015,0.37959652509036956
Bi Rh,0.0109,0.1913335171879289
Bi Ru,0.0101,0.17894587946613522
Bi S,0.0048,0.08723012875259455
Bi Sb,0.2587,0.9522775567150895
Bi Sc,0.0075,0.40172425681522833
Bi Se,0.0097,0.18556056262668305
Bi Si,0.0126,0.11348413627157027
Bi Sm,0.0248,0.3771954704217681
Bi Sn,0.1023,0.6971982361575918
Bi Sr,0.0118,0.23909827161658734
Bi Ta,0.0101,0.3703493813812118
Bi Tb,0.018,0.3539847533537364
Bi Tc,0.0056,0.31169400004266434
Bi Te,0.0354,0.383469426249324
Bi Th,0.0049,0.4314943853445705
Bi Ti,0.0042,0.3303734773870203
Bi Tl,0.0468,0.5299887671034468
Bi Tm,0.0126,0.3320278615482242
Bi U,0.0114,0.3724220867980661
Bi V,0.007,0.5057307105297252
Bi W,0.0066,0.4673040710858876
Bi Y,0.0163,0.3676111924082029
Bi Yb,0.0108,0.44627661242582045
Bi Zn,0.0104,0.20537584300006517
Bi Zr,0.004,0.21629001847123902
B K,0.0005,0.05394664256484653
B La,0.0007,0.0991320205186992
B Li,0.0005,0.06260495554664779
B Lu,0.0013,0.11428339838458165
B Mg,0.0005,0.08452234957908725
B Mn,0.0042,0.07912565967754001
B Mo,0.0005,0.24002424267841868
B N,0.0039,0.045433375412347723
B Na,0.0005,0.07858842323629753
B Nb,0.0007,0.11998261056447793
