,formula,class>1e-4
499,LiSrTiNbO6,0
500,LiBa2Ti2NbO9,0
501,Li0.067La0.64TiO2.99,0
502,Li0.25La0.66Ti0.75Al0.25O3,0
503,Li0.20La0.66Ti0.80Al0.20O3,0
504,Li0.30La0.66Ti0.70Al0.30O3,0
505,Li0.15La0.66Ti0.85Al0.15O3,0
506,Li0.10La0.66Ti0.90Al0.10O3,0
507,Li0.06La0.66Ti0.93Al0.06O3,0
508,Li0.27La0.59TiO3 ,1
509,Li0.27La0.59TiO3,1
510,Li3O(Cl0.5Br0.5),1
511,Li3O(Cl0.5Br0.5),1
512,Li3O(Cl0.5Br0.5),1
513,Li3OCl,1
514,Li3O(Cl0.5Br0.5),1
515,Li3O(Cl0.5Br0.5),1
516,Li3OCl,1
517,Li3OCl,1
518,Li3OCl,1
519,Li10SnP2S12,1
520,Li10GeP2S12,1
521,Li1.2Ta0.9Al1.1P3O12,1
522,LiTaAlP3O12,1
523,LiTaAlP3O12,0
524,Li1.2Ta0.9Al1.1P3O12,0
525,LiSrTiTaO6,1
526,LiSr1.65Ti1.3Ta1.7O9,0
527,LiSr2Ti2TaO9,0
528,Li0.36La0.55TiO3,0
529,LiSr1.65Ti1.3Nb1.7O9,0
530,LiSr1.65Zr1.3Ta1.7O9,0
531,LiSr2Ti2NbO9,0
532,LiBa2Ti2NbO9,0
533,LiCaTiNbO6,0
534,LiSr2Ti2NbO9,0
535,LiCa2Ti2NbO9,0
536,Li3Cr(MoO4)3,1
537,Li2Mg2(MoO4)3,1
538,Li3Fe(MoO4)3,1
539,Li3Cr(MoO4)3,0
540,Li3Fe(MoO4)3,0
541,Li2Mg2(MoO4)3,0
542,Li1.5Hf1.5Al0.5P3O12,1
543,Li11AlP2S12,1
544,Li6BaLa2Ta2O12,0
545,Li5NI2,0
546,Li6NiBr8,0
547,Li4SiO4,0
548,Li4GeO4,0
549,Li2Ge7O15,0
550,Li3.5Ge0.5V0.5O4,0
551,LiI,0
552,Li3PS4,0
553,Li3P,1
554,LiAlSiO4,1
555,Li3Sc2P3O12,0
556,Li5La3Bi2O12,0
557,LiLa(TiO3)2,1
558,Li3VO4,0
559,Li7P3S11,1
560,Li4BN3H10,1
561,LiBH4,0
562,Li10Ge(PS6)2,1
563,Li2NH,1
564,Li2Ca(NH)2,0
565,Li3N,1
566,Li13.6Si2.8S1.2O16,0
567,LiAlH4,0
568,Li4B7O12Cl,0
569,Li10.35Si1.35P1.65S12,1
570,Li9.81Sn0.81P2.19S12,1
571,Li5La3Nb2O12,0
572,Li5La3Ta2O12,0
573,Li14ZnGe4O16,0
574,Li3Fe2P3O12,0
575,Li6FeCl8,0
576,Li2.88PO3.73N0.14,0
577,Li9.54Si1.74P1.44S11.7Cl0.3,1
578,Li6.35P0.65Si0.35S5Br,1
579,Li6.50P0.50Si0.50S5Br,1
580,Li6.20P0.80Si0.20S5Br,1
581,Li6.30P0.70Si0.30S5Br,1
582,Li6.25P0.75Si0.25S5Br,1
583,Li6.12P0.90Si0.12S5Br,1
584,Li6.22P0.78Si0.22S5Br,1
585,Li6.17P0.83Si0.17S5Br,1
586,Li6.13P0.87Si0.13S5Br,1
587,Li6.08P0.92Si0.08S5Br,1
588,Li6.02P0.98Si0.02S5 Br,1
589,Li6.10P0.90Si0.10S5Br,1
590,Li6PS5Br,1
591,Li6.05P0.95Si0.05S5Br,1
592,Li6BaLa2Ta2O12 ,0
593,Li6SrLa2Ta2O12,0
594,Li3.4Si0.4P0.6S4,1
595,Li4.8Si0.2Al0.8S4,1
596,Li4SiS4,0
597,Li2SiS3,0
598,Li3PS4 ,1
599,Li7.06La3Y0.06Zr1.94O12 ,1
600,Li6.75La3Zr1.75Nb0.25O12 ,1
601,Li7La3Zr1.89Al0.15O12 ,1
602,Li6.5La3Zr1.75Te0.25O12 ,1
603,Li10Ge0.95Si0.05P2S12,1
604,Li5.5La3Nb1.75In0.25O12 ,0
605,Li5.5La2.75K0.25Nb2O12 ,0
606,Li7La3Zr2O12 ,0
607,Li7La3Hf2O12,0
608,Li6.25La3Zr2Ga0.25O12,1
609,Li7P3S11,1
610,Li2.2Zn0.1Zr0.9S3,1
611,Li3.9Zn0.05GeS4,1
612,Li4GeS4,0
613,Li4.275Ge0.61Ga0.25S4,1
614,Li4P2S6,0
615,Li4PS4I,0
616,Li6.6La2.75Y0.25Zr1.6Ta0.4O12,1
617,Li6.6La2.875Y0.125Zr1.6Ta0.4O12 ,1
618,Li6.6La2.5Y0.5Zr1.6Ta0.4O12 ,1
619,Li3Nd3Te2O12,0
620,Li4SnS4,0
621,Li6.4La3Zr2Ga0.2O12 ,1
622,Li2SnS3,0
623,Li3PS4,1
624,Li10SnP2S12,1
625,Li6.5La3Nb1.25Y0.75O12 ,1
626,Li6La3Nb1.5Y0.5O12 ,1
